BLOCK,LATITUDE,LONGITUDE,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT
0 - 0 BLOCK OF PERIMETER EAST ROAD SW,38.81204856,-77.02199139,8,8D,7.0,708.0,Cluster 44,010900 2,10900.0,Precinct 126
1 - 1 BLOCK OF CHEVY CHASE CIRCLE NW,38.96739521,-77.07671687,3,3/4G,2.0,201.0,Cluster 10,001401 2,1401.0,Precinct 50
1 - 1 BLOCK OF THOMAS CIRCLE NW,38.90543809,-77.03234181,2,2C,2.0,207.0,Cluster 8,010100 1,10100.0,Precinct 17
1 - 1 BLOCK OF WASHINGTON CIRCLE NW,38.90304935,-77.04996071,2,2A,2.0,207.0,Cluster 5,005501 2,5501.0,Precinct 4
1 - 100 BLOCK OF CHESAPEAKE STREET SE,38.82919651,-77.00677946,8,8D,7.0,708.0,Cluster 39,009810 2,9810.0,Precinct 126
1 - 11 BLOCK OF P STREET SW,38.87203182,-77.00949159,6,6D,1.0,105.0,Cluster 9,006400 2,6400.0,Precinct 127
1 - 110 BLOCK OF 13TH STREET SE,38.88951871,-76.98831882,6,6B,1.0,107.0,Cluster 26,006700 1,6700.0,Precinct 88
1 - 1299 BLOCK OF BLAGDEN ALLEY NW,38.90684583,-77.02498561,2,2G,3.0,307.0,Cluster 7,004902 2,4902.0,Precinct 129
1 - 149 BLOCK OF 54TH STREET SE,38.88809571,-76.92352262,7,7C,6.0,604.0,Cluster 33,009903 2,9903.0,Precinct 105
1 - 15 BLOCK OF M STREET NW,38.90564764,-77.00966554,6,6E,1.0,102.0,Cluster 8,004704 1,4704.0,Precinct 1
1 - 15 BLOCK OF M STREET SE,38.87646366,-77.00865931,8,8F,1.0,106.0,Cluster 27,007201 1,7201.0,Precinct 131
1 - 19 BLOCK OF FORRESTER STREET SW,38.82515117,-77.00727323,8,8D,7.0,708.0,Cluster 39,009807 2,9807.0,Precinct 126
1 - 19 BLOCK OF N STREET SE,38.87463541,-77.00865241,8,8F,1.0,106.0,Cluster 27,007201 1,7201.0,Precinct 131
1 - 199 BLOCK OF 19TH STREET NE,38.8909013,-76.97725582,7,7D,1.0,108.0,Cluster 26,008002 1,8002.0,Precinct 86
1 - 199 BLOCK OF 45TH STREET NE,38.89122144,-76.93775745,7,7F,6.0,608.0,Cluster 33,007803 3,7803.0,Precinct 98
1 - 199 BLOCK OF 58TH STREET SE,38.88833055,-76.91742771,7,7C,6.0,604.0,Cluster 33,009903 1,9903.0,Precinct 105
1 - 199 BLOCK OF 61ST STREET NE,38.89086351,-76.91366569,7,7C,6.0,608.0,Cluster 31,007808 2,7808.0,Precinct 96
1 - 199 BLOCK OF DARRINGTON STREET SW,38.82699747,-77.0106445,8,8D,7.0,708.0,Cluster 39,009807 3,9807.0,Precinct 126
1 - 199 BLOCK OF TUCKERMAN STREET NW,38.96736576,-77.0104873,4,4B,4.0,406.0,Cluster 19,001702 2,1702.0,Precinct 64
1 - 199 BLOCK OF WASHINGTON CIRCLE NW,38.90295578,-77.05053132,2,2A,2.0,207.0,Cluster 5,005501 2,5501.0,Precinct 4
1 - 199 BLOCK OF WEBSTER STREET NW,38.9443794,-77.01294326,4,4C,4.0,407.0,Cluster 18,002301 2,2301.0,Precinct 46
1 - 21 BLOCK OF MISSISSIPPI AVENUE SE,38.83174284,-77.00734393,8,8D,7.0,707.0,Cluster 39,009803 2,9803.0,Precinct 124
1 - 21 BLOCK OF NEW YORK AVENUE NW,38.90726116,-77.00930627,5,5E,3.0,308.0,Cluster 21,004600 1,4600.0,Precinct 19
1 - 21 BLOCK OF RHODE ISLAND AVENUE NE,38.91693508,-77.00867899,5,5F,5.0,502.0,Cluster 21,008701 2,8701.0,Precinct 75
1 - 29 BLOCK OF COLUMBUS CIRCLE NE,38.8967394,-77.00494387,6,6C,1.0,102.0,Cluster 25,980000 1,980000.0,Precinct 144
1 - 29 BLOCK OF DANBURY STREET SW,38.82779221,-77.00818998,8,8D,7.0,708.0,Cluster 39,009807 3,9807.0,Precinct 126
1 - 299 BLOCK OF G STREET SW,38.88128311,-77.01371933,6,6D,1.0,103.0,Cluster 9,010500 5,10500.0,Precinct 128
1 - 299 BLOCK OF H STREET NE,38.90020714,-77.00555073,6,6E,1.0,102.0,Cluster 8,004702 1,4702.0,Precinct 1
1 - 299 BLOCK OF STODDERT PLACE SE,38.88954207,-76.94828035,7,7F,6.0,603.0,Cluster 32,007703 1,7703.0,Precinct 103
1 - 31 BLOCK OF KENNEDY STREET NE,38.95658909,-77.00836181,4,4B,4.0,406.0,Cluster 17,009505 3,9505.0,Precinct 65
1 - 35 BLOCK OF HAWAII AVENUE NE,38.94670145,-77.00805345,5,5A,4.0,405.0,Cluster 19,009510 2,9510.0,Precinct 44
1 - 37 BLOCK OF BURNS STREET NE,38.8903802,-76.95032341,7,7F,6.0,603.0,Cluster 32,009603 2,9603.0,Precinct 102
1 - 38 BLOCK OF FLORIDA AVENUE NE,38.91051693,-77.00841844,5,5F,5.0,501.0,Cluster 21,008701 1,10601.0,Precinct 75
1 - 39 BLOCK OF L STREET NW,38.90373265,-77.00965202,6,6E,1.0,102.0,Cluster 8,004704 1,4704.0,Precinct 1
1 - 39 BLOCK OF PEABODY STREET NE,38.96271516,-77.00692623,4,4B,4.0,406.0,Cluster 19,009505 2,9505.0,Precinct 64
1 - 42 BLOCK OF RIGGS ROAD NE,38.95497212,-77.00815914,5,5A,4.0,405.0,Cluster 19,009508 4,9508.0,Precinct 44
1 - 43 BLOCK OF U STREET NE,38.91697928,-77.00780195,5,5F,5.0,502.0,Cluster 21,008701 2,8701.0,Precinct 75
1 - 45 BLOCK OF GALLATIN STREET NW,38.95238635,-77.00983258,4,4D,4.0,407.0,Cluster 19,002202 1,2202.0,Precinct 57
1 - 47 BLOCK OF L STREET SE,38.87752731,-77.00820076,6,8F,1.0,106.0,Cluster 27,007202 1,7202.0,Precinct 131
1 - 49 BLOCK OF DISTRICT SQUARE SW,38.88007348,-77.02503409,6,6D,1.0,103.0,Cluster 9,010202 5,10202.0,Precinct 142
1 - 49 BLOCK OF E STREET NW,38.89612198,-77.01024512,6,6E,1.0,102.0,Cluster 8,005900 2,5900.0,Precinct 1
1 - 49 BLOCK OF K STREET SE,38.87840878,-77.00826102,6,8F,1.0,106.0,Cluster 27,007202 2,7202.0,Precinct 131
1 - 49 BLOCK OF MASSACHUSETTS AVENUE NW,38.89789907,-77.0101233,6,6E,1.0,102.0,Cluster 8,004702 1,4702.0,Precinct 1
1 - 49 BLOCK OF PARKER ROW SW,38.8771996,-77.02156455,6,6D,1.0,103.0,Cluster 9,010202 5,10202.0,Precinct 142
1 - 49 BLOCK OF POTOMAC AVENUE SW,38.87030017,-77.01013632,6,6D,1.0,105.0,Cluster 9,006400 2,6400.0,Precinct 127
1 - 50 BLOCK OF FRANKLIN STREET NE,38.92524206,-77.00806371,5,5E,5.0,502.0,Cluster 21,009203 1,9203.0,Precinct 135
1 - 53 BLOCK OF 49TH STREET SE,38.88937716,-76.93213936,7,7E,6.0,604.0,Cluster 33,009904 1,9904.0,Precinct 104
1 - 69 BLOCK OF I STREET SE,38.87928638,-77.00826113,6,8F,1.0,106.0,Cluster 27,007202 2,7202.0,Precinct 131
1 - 69 BLOCK OF OGLETHORPE STREET NW,38.96111418,-77.0075084,4,4B,4.0,406.0,Cluster 17,009505 2,9505.0,Precinct 64
1 - 7 BLOCK OF DUPONT CIRCLE NW,38.90936484,-77.04414667,2,2B,2.0,208.0,Cluster 6,005502 3,5502.0,Precinct 14
1 - 7 BLOCK OF ELMIRA STREET SE,38.8260506,-77.00687647,8,8D,7.0,708.0,Cluster 39,009810 2,9810.0,Precinct 126
1 - 81 BLOCK OF UNDERWOOD STREET NW,38.96821787,-77.01024049,4,4B,4.0,406.0,Cluster 19,001702 2,1702.0,Precinct 64
1 - 83 BLOCK OF 10TH STREET NE,38.89029117,-76.99264382,6,6A,1.0,108.0,Cluster 26,008100 3,8100.0,Precinct 85
1 - 83 BLOCK OF WEBSTER STREET NE,38.94502886,-77.00702084,5,5A,4.0,405.0,Cluster 19,009510 2,9510.0,Precinct 44
1 - 84 BLOCK OF 55TH STREET SE,38.8887147,-76.92260273,7,7C,6.0,604.0,Cluster 33,009903 2,9903.0,Precinct 105
1 - 98 BLOCK OF NEW YORK AVENUE NE,38.90790025,-77.00746971,6,6E,5.0,501.0,Cluster 25,010601 1,10601.0,Precinct 144
1 - 99 BLOCK OF 14TH STREET NE,38.89036689,-76.98550606,6,6A,1.0,108.0,Cluster 26,008002 2,8002.0,Precinct 86
1 - 99 BLOCK OF 14TH STREET SE,38.88923697,-76.9855071,6,6B,1.0,107.0,Cluster 26,006700 1,6700.0,Precinct 88
1 - 99 BLOCK OF 15TH STREET NE,38.89036466,-76.98364774,7,7D,1.0,108.0,Cluster 26,008002 1,8002.0,Precinct 86
1 - 99 BLOCK OF 15TH STREET SE,38.88923538,-76.98365238,7,7D,1.0,107.0,Cluster 26,006801 2,6801.0,Precinct 87
1 - 99 BLOCK OF 16TH STREET NE,38.89036463,-76.98221129,7,7D,1.0,108.0,Cluster 26,008002 1,8002.0,Precinct 86
1 - 99 BLOCK OF 16TH STREET SE,38.88923652,-76.9822186,7,7D,1.0,107.0,Cluster 26,006801 2,6801.0,Precinct 87
1 - 99 BLOCK OF 17TH STREET NE,38.89036323,-76.98076251,7,7D,1.0,108.0,Cluster 26,008002 1,8002.0,Precinct 86
1 - 99 BLOCK OF 18TH STREET SE,38.88923531,-76.97899333,7,7D,1.0,107.0,Cluster 26,006801 1,6801.0,Precinct 87
1 - 99 BLOCK OF 1ST STREET NE,38.89039034,-77.00591997,6,6C,1.0,102.0,Cluster 45,980000 1,980000.0,Precinct 130
1 - 99 BLOCK OF 22ND STREET NE,38.8901646,-76.97381248,7,7D,1.0,108.0,Cluster 25,006804 1,6804.0,Precinct 80
1 - 99 BLOCK OF 35TH STREET NE,38.89025329,-76.95552328,7,7F,6.0,603.0,Cluster 32,009603 3,9603.0,Precinct 102
1 - 99 BLOCK OF 35TH STREET SE,38.88929372,-76.95607059,7,7F,6.0,603.0,Cluster 32,007708 1,7708.0,Precinct 132
1 - 99 BLOCK OF 3RD STREET NE,38.89037201,-77.0020401,6,6C,1.0,108.0,Cluster 26,008200 2,8200.0,Precinct 89
1 - 99 BLOCK OF 46TH STREET SE,38.88933209,-76.93608872,7,7E,6.0,604.0,Cluster 33,009906 1,9906.0,Precinct 104
1 - 99 BLOCK OF 47TH STREET NE,38.89002481,-76.9348766,7,7F,6.0,608.0,Cluster 33,007803 3,7803.0,Precinct 98
1 - 99 BLOCK OF 47TH STREET SE,38.8889694,-76.93379368,7,7E,6.0,604.0,Cluster 33,009906 1,9906.0,Precinct 104
1 - 99 BLOCK OF 4TH STREET NE,38.89037238,-77.00057541,6,6C,1.0,108.0,Cluster 26,008200 3,8200.0,Precinct 89
1 - 99 BLOCK OF 4TH STREET SE,38.88924472,-77.00057598,6,6B,1.0,106.0,Cluster 26,006600 1,6600.0,Precinct 89
1 - 99 BLOCK OF 53RD PLACE SE,38.8882519,-76.92461929,7,7C,6.0,604.0,Cluster 33,009903 2,9903.0,Precinct 105
1 - 99 BLOCK OF 53RD STREET SE,38.88861829,-76.92578413,7,7C,6.0,604.0,Cluster 33,009903 2,9903.0,Precinct 105
1 - 99 BLOCK OF 6TH STREET NE,38.89037219,-76.99844736,6,6C,1.0,108.0,Cluster 26,008200 1,8200.0,Precinct 85
1 - 99 BLOCK OF 7TH STREET NE,38.89037007,-76.99617131,6,6C,1.0,108.0,Cluster 26,008200 1,8200.0,Precinct 85
1 - 99 BLOCK OF 7TH STREET SE,38.88924101,-76.99617386,6,6B,1.0,107.0,Cluster 26,006600 1,6600.0,Precinct 89
1 - 99 BLOCK OF 7TH STREET SW,38.88918366,-77.02190705,2,2C,1.0,102.0,Cluster 45,980000 1,980000.0,Precinct 129
1 - 99 BLOCK OF 8TH STREET NE,38.8903703,-76.99496689,6,6C,1.0,108.0,Cluster 26,008200 1,8200.0,Precinct 85
1 - 99 BLOCK OF 8TH STREET SE,38.88924101,-76.99496317,6,6B,1.0,107.0,Cluster 26,006600 1,6600.0,Precinct 89
